Date,Description,Amount,Category
2024-08-16,Value talk ever realize.,81.16,dining
2024-07-18,Pm or sit store everyone.,81.16,misc
2024-07-24,Institution college run reflect.,81.16, Dining 
2025-03-09,Cover economic national nature sell.,81.16, Food 
2024-10-06,Live although reason.,, Transport 
2025-01-04,Family exist approach see reduce.,81.16,GROCERIES
2025-05-24,Wish action mouth.,81.16,MISC
2025-06-13,Yourself clearly certain a each.,81.16, Entertainment 
2025-01-29,Mr everybody activity play.,81.16,TRANSPORT
2024-12-19,Different consider we.,81.16,rent
2024-08-31,Per seem race sing cut.,81.16,entertainment
2025-03-17,Whole right.,81.16,transport
2024-11-11,Country necessary.,81.16,GROCERIES
2025-06-24,Take care idea beat.,1472.09,shopping
2024-10-25,Suffer less executive.,81.16, Medical 
2025-03-15,Value role ten turn agree.,81.16, Entertainment 
2025-05-15,Leave expect.,81.16,shopping
2025-06-16,Wear increase no sound low.,81.16, Entertainment 
2024-08-24,Would continue often southern.,81.16,utilities
2024-11-08,Always unit.,81.16,
2024-11-06,Possible foreign.,81.16,DINING
2024-07-17,Friend success form.,81.16,GROCERIES
2025-03-11,Seven color soldier.,81.16,medical
2024-12-25,Dog ok chair third.,81.16,medical
2024-11-24,Court consider offer heart.,81.16,RENT
2024-10-01,Stage say put process tend.,81.16,entertainment
2024-07-05,Data list change particular.,81.16,dining
2025-03-24,Group see crime.,81.16,MISC
2025-05-28,Call budget.,81.16, Groceries 
2025-01-13,Part grow administration sister also.,81.16,dining
2025-04-10,Hot strategy.,81.16,DINING
2025-01-24,Baby site difficult important bad.,81.16,utilities
2025-03-25,Fly Mrs.,81.16,DINING
2024-09-24,This their.,81.16, Dining 
2024-12-21,Contain class price.,81.16,
2024-07-19,Pick place kitchen measure hair.,81.16,RENT
2025-01-08,Cost win amount note break.,81.16,medical
2025-02-25,Act institution quite beyond.,81.16, Utilities 
2025-05-28,Thousand share move hit.,81.16,GROCERIES
2025-06-01,Democratic paper.,81.16, Shopping 
2024-08-13,Apply whatever this fish.,81.16,TRANSPORT
2024-10-18,Radio office yourself.,81.16, Groceries 
2025-04-08,Fall result.,81.16, Transport 
2024-08-11,Figure fill work knowledge.,81.16,ENTERTAINMENT
2024-08-29,Feeling sound put.,81.16,medical
2024-12-31,Professional always hear guy line.,81.16,DINING
2025-02-17,Soldier population fall mean.,81.16,groceries
2025-04-02,Glass option.,81.16,
2025-02-23,Election analysis dark some.,81.16,MEDICAL
2025-05-08,Bed beyond.,81.16,food
2024-12-20,List yourself have.,1034.21,RENT
2025-04-15,Almost hair any.,81.16,medical
2024-09-16,Of control.,,RENT
2024-08-22,Film put suffer film idea.,81.16,food
2025-05-01,Yourself picture husband message fight.,81.16,groceries
2025-04-07,Begin hot.,81.16, Groceries 
2025-03-03,Authority leader fly physical.,81.16,groceries
2025-05-08,Purpose television tonight.,81.16,utilities
2025-05-28,Over color share pass.,81.16,entertainment
2024-10-29,Small design entire.,81.16,UTILITIES
2024-08-29,Would listen.,81.16,MISC
2025-04-09,Newspaper talk lose present.,81.16,FOOD
2025-06-16,So artist care.,81.16,misc
2025-03-03,Short social meet race around.,81.16, Dining 
2025-02-04,Hundred adult must.,81.16, Dining 
2024-10-26,College successful daughter.,81.16, Utilities 
2024-08-05,Energy soldier.,, Utilities 
2024-12-31,Film rock manager.,81.16,MEDICAL
2025-03-22,Specific long perhaps me various.,81.16,DINING
2024-08-16,Whole consumer behind wish.,81.16,utilities
2025-03-10,Into majority benefit science.,81.16, Food 
2024-12-05,Avoid nearly.,81.16,DINING
2024-09-21,Fast operation that get.,81.16,medical
2025-04-17,Leave there.,81.16,DINING
2024-11-30,Spring successful company probably.,81.16,shopping
2025-03-26,Current trouble respond.,, Dining 
2025-04-30,Ask customer clearly age.,81.16,medical
2025-04-20,Reason professional standard.,81.16, Transport 
2024-08-20,Central middle she region.,81.16,FOOD
2024-07-08,Hot mouth attack.,81.16, Transport 
2024-08-22,Fall professor specific.,81.16,TRANSPORT
2025-03-11,Between husband upon whatever again.,1095.07,ENTERTAINMENT
2025-05-11,Not husband.,81.16,medical
,Hair professor see value development.,81.16,UTILITIES
2025-04-06,Pm onto the.,81.16, Entertainment 
2025-02-07,Surface compare enough number.,81.16,misc
2025-01-01,Expert too democratic.,81.16,entertainment
2025-02-21,Food door.,81.16,transport
2025-01-17,Product current seem.,81.16,food
2025-06-28,Full tax become personal market.,81.16, Utilities 
2025-05-26,Bill nearly her short.,81.16,transport
2025-06-07,Ahead control cause.,81.16,utilities
2024-09-09,Perhaps half great generation ahead.,81.16, Misc 
2024-07-05,Debate page issue through ahead.,81.16, Food 
2024-12-09,Best prevent board.,81.16,entertainment
2024-08-28,Civil pull among media.,81.16,dining
2024-10-05,Class either focus skin.,81.16,SHOPPING
2025-04-28,Money off all.,81.16,TRANSPORT
2025-04-12,Card live.,81.16,DINING
2024-10-19,Third piece pick nearly.,81.16, Entertainment 
2024-12-10,Lawyer offer unit.,81.16,FOOD
2025-03-14,Woman likely plant buy scene.,81.16, Shopping 
2025-05-29,Source floor modern image.,81.16, Transport 
,Democrat behavior particularly.,1188.61, Transport 
2025-06-15,Admit performance garden chair production.,81.16, Groceries 
2025-04-05,Many field different rest.,81.16,RENT
2025-02-13,Challenge remember customer some.,81.16,DINING
2024-11-04,Family yard artist major.,81.16,FOOD
2024-08-16,Whole consumer behind wish.,81.16,utilities
2025-05-05,Prevent past.,81.16,misc
2024-08-13,Table instead with teacher.,81.16, Entertainment 
2024-11-15,Direction maintain strong factor sit.,0.73,TRANSPORT
2025-01-19,Policy role produce particularly plant.,81.16,utilities
2025-01-10,My notice likely hospital chance.,81.16,dining
2025-01-29,Rise large.,, Transport 
2025-03-11,Too personal network message.,81.16, Medical 
2024-12-22,Level fly.,81.16, Dining 
2024-08-01,Group perhaps.,81.16,dining
2025-04-30,Animal air appear population reveal.,81.16,SHOPPING
2024-09-06,Enough mother letter.,81.16, Medical 
2024-12-05,Project fish white.,81.16, Dining 
2024-09-11,Notice start life clear for.,81.16, Shopping 
2024-12-31,Truth save pattern on.,0.81, Misc 
2025-05-27,Father brother citizen skill.,81.16,medical
2025-06-16,Question think.,81.16,
2024-07-20,Experience several appear.,81.16,DINING
2025-03-27,Institution sing.,81.16,UTILITIES
2025-02-24,For still everything.,81.16, Utilities 
2024-10-16,Else past medical.,81.16, Groceries 
2025-03-24,Customer field direction.,81.16,groceries
2025-04-13,Air professional exactly his.,81.16,entertainment
2025-04-17,Everything strategy offer consumer.,0.3, Entertainment 
,Friend campaign.,81.16,medical
2024-09-13,Respond recently reveal arrive player.,81.16,rent
2024-10-23,Wonder class once since only.,81.16,RENT
2024-09-10,Drop do think around imagine.,81.16,entertainment
2024-08-16,Value talk ever realize.,81.16,dining
2024-11-08,Person campaign test accept.,81.16, Transport 
2024-07-31,Couple top full country.,81.16,MISC
2025-04-26,Energy often.,81.16,entertainment
2024-12-28,South or team.,81.16,GROCERIES
2025-06-17,Large without.,81.16,RENT
2025-03-16,Others report join.,81.16, Entertainment 
2025-01-17,Toward energy chance.,81.16,rent
2025-02-07,Center attorney certain.,81.16, Groceries 
2025-03-19,Southern after history.,81.16,utilities
2025-01-20,You consumer let major letter.,81.16,DINING
2025-04-12,At trial security stuff day.,81.16,transport
2024-12-04,Stand second poor church while.,81.16,groceries
2025-06-11,Second politics arrive.,81.16, Food 
2025-03-27,Theory to military.,81.16, Shopping 
2025-01-18,Study fish week few.,81.16, Transport 
2024-10-11,Option article study modern could.,81.16,rent
2024-12-09,Response also name.,81.16, Medical 
2024-11-06,Fire thus where.,81.16, Medical 
2024-07-03,Agency produce magazine.,81.16,entertainment
2024-09-01,Lay physical air.,81.16, Transport 
2025-04-26,Art and radio.,81.16,UTILITIES
2025-02-19,Specific agent such walk.,81.16, Medical 
2025-07-01,Audience look.,81.16,TRANSPORT
2024-10-28,Pm adult including say after.,81.16,UTILITIES
,Institution wear improve drug.,81.16,rent
2024-12-31,Space agency.,81.16,food
2025-03-30,Child wide doctor.,81.16,utilities
2025-01-28,Risk exactly.,81.16,FOOD
2025-04-20,Customer through me.,81.16,medical
2024-07-24,Skill technology among.,81.16,dining
2024-08-31,Clearly student talk suggest.,81.16,
2025-01-31,Majority sell reality himself.,81.16,transport
2024-10-09,Program wish per to sound.,81.16,groceries
2025-03-24,Heavy bill receive everyone.,81.16,TRANSPORT
2024-10-07,Cause game.,81.16,FOOD
2025-06-02,Miss entire data management.,81.16,MISC
2025-04-26,Stock deep wear beat war.,81.16,FOOD
2024-08-30,Impact give save employee social.,81.16,medical
2025-06-06,Light nearly parent.,81.16,FOOD
2025-03-19,Store travel relate quickly.,81.16,ENTERTAINMENT
2025-06-28,According avoid author expert.,81.16,utilities
2024-10-26,Ask behavior six.,81.16, Utilities 
2025-06-16,Remember former.,81.16, Groceries 
2024-07-12,Leave positive.,81.16,food
2025-03-02,Trade simply with defense than.,81.16,MISC
2025-06-03,Program soon focus personal require.,81.16, Dining 
2024-11-15,Contain board senior coach last.,81.16,groceries
2024-12-23,Even direction plant partner.,81.16,SHOPPING
2024-10-28,Color person easy from good.,81.16, Groceries 
2025-03-10,See those on.,81.16,transport
2024-08-09,Study TV writer no.,81.16,medical
2024-08-16,Staff door.,81.16,
2025-02-09,Will responsibility.,81.16,dining
2025-02-12,Now him should stock care.,81.16,TRANSPORT
2025-05-21,Over though together.,81.16,GROCERIES
2024-12-07,Ahead can.,81.16, Utilities 
2025-01-29,Relationship arm source.,81.16,MEDICAL
2024-09-27,Blood want crime.,81.16, Groceries 
2024-10-25,Party ten beat from my.,81.16,GROCERIES
2025-04-28,Firm more.,81.16,MEDICAL
2025-05-26,Realize read six across.,81.16,MISC
2025-04-17,Once concern book young.,81.16,utilities
2025-01-29,Actually agent tonight light grow.,81.16,UTILITIES
2024-11-06,Issue decision difficult tree.,81.16, Groceries 
2025-05-03,Heart yes young lose.,81.16,SHOPPING
2024-12-21,Provide space new plant always.,81.16, Utilities 
2025-05-31,Movie ahead out.,81.16, Misc 
2024-10-22,Mention us approach.,81.16, Shopping 
2024-12-12,Security remain.,81.16,dining
2024-07-09,Popular whose.,81.16, Medical 
2024-09-05,Six reveal she.,81.16,transport
2024-09-27,Adult marriage key.,81.16,
2025-05-26,Quickly save give PM network.,81.16,misc
2024-08-18,Quite character somebody middle.,81.16,FOOD
2024-08-11,Weight Mr.,81.16,DINING
2025-02-24,Thank agree senior affect.,81.16,rent
2024-09-14,Consider popular.,81.16, Food 
2024-11-27,Whole pull.,81.16,shopping
2025-04-08,White subject reach.,81.16,FOOD
2025-02-21,Sell give hit.,81.16,shopping
2025-03-07,Speech give far.,81.16,RENT
2025-04-01,Guy least hotel economic.,81.16,MISC
2025-04-01,Bed appear some.,81.16,food
2024-07-06,Might run white kid.,81.16,entertainment
2025-03-15,Above here business development.,81.16,dining
2025-05-25,Fund church also.,81.16,medical
2024-09-27,Sing real.,81.16,
2024-08-03,Partner but forget effort.,81.16,utilities
2025-02-10,Idea term resource which.,81.16,DINING
,Democrat behavior particularly.,1188.61, Transport 
2024-12-24,Image common three.,81.16,transport
2025-04-11,Gas behavior technology kitchen still.,81.16, Transport 
2024-09-06,College citizen.,81.16, Entertainment 
2024-10-02,Nearly public door.,81.16, Dining 
2024-10-05,Surface budget.,81.16, Rent 
2024-11-14,Family trip movie.,81.16, Shopping 
2024-08-01,Quite model natural.,81.16,food
2024-11-13,Gun room generation such.,81.16, Misc 
2024-09-25,Husband although executive effect.,81.16,misc
2024-10-03,Until than that know town.,81.16, Dining 
2025-02-09,Federal western admit before.,81.16, Misc 
2025-01-13,Hour weight under.,81.16,MISC
2025-01-02,Teacher nearly catch.,1122.1, Food 
2025-04-05,Idea finally.,81.16,transport
2024-07-29,Spring down prove executive father.,81.16,dining
2025-04-05,Available the.,81.16,SHOPPING
2025-03-02,Relate ok show.,81.16,FOOD
2024-11-04,Travel likely cultural.,81.16,rent
2025-06-27,Guy enjoy suggest member image.,81.16,MISC
2024-08-13,Push into.,81.16,MEDICAL
2025-03-14,Top probably person.,81.16, Transport 
2024-11-18,Hour entire national.,81.16,ENTERTAINMENT
2024-07-02,Too beyond often participant.,81.16,SHOPPING
2024-12-11,Mrs store.,81.16,TRANSPORT
2024-11-08,Many away activity training production.,81.16, Shopping 
2025-02-16,Agent bar why win still.,81.16, Medical 
2025-03-27,Political serve hold hair.,81.16,dining
2024-07-31,Run people think.,81.16,DINING
2024-08-24,Last myself according.,81.16, Dining 
2025-02-04,Crime meeting today treatment.,81.16,misc
2025-06-20,Section attack board table program.,81.16, Dining 
2025-04-09,Ball hot same.,81.16,GROCERIES
2024-08-27,Way mention how teach hair.,81.16,ENTERTAINMENT
2025-03-20,Call wall amount modern.,81.16,GROCERIES
2024-08-13,Marriage personal campaign plan.,81.16,MISC
2025-02-04,Employee according themselves amount.,1205.39,GROCERIES
2025-06-27,Trip official require.,81.16,misc
2025-04-15,Name turn meeting same.,81.16,RENT
2025-05-26,Government across member book.,81.16,medical
2024-11-26,Political the subject should sign.,81.16, Medical 
2025-04-09,Resource huge sign wrong.,81.16,transport
2025-03-11,Specific back method.,81.16, Rent 
2025-05-12,Coach according involve establish central.,81.16,GROCERIES
2024-11-01,Building let.,81.16,FOOD
2024-07-31,Cause effect magazine can focus.,81.16, Rent 
2025-06-15,Mr technology college event.,81.16, Utilities 
2025-01-06,Message among price.,81.16,utilities
2024-08-18,Quite character somebody middle.,81.16,FOOD
2025-06-08,Seven parent go black.,1405.7,ENTERTAINMENT
2024-12-22,Job key newspaper night.,81.16, Shopping 
2024-12-14,Return what PM.,81.16,medical
2025-03-13,Society free once response behavior.,81.16, Dining 
2025-04-06,Travel account practice.,81.16, Transport 
2025-02-20,Possible several exist unit.,81.16,rent
2024-07-10,Investment by way purpose.,81.16, Misc 
2024-08-21,Skill environmental build spring.,81.16,MEDICAL
2025-02-14,Report tough then.,81.16, Rent 
2024-11-15,A society relate pattern oil.,81.16,
2025-01-01,Little big save rest.,81.16,GROCERIES
2024-08-21,Class executive need interview.,81.16,UTILITIES
2025-02-24,Theory finish me person.,81.16,dining
2025-04-15,Five again deal positive these.,81.16,rent
2025-02-23,Stuff better return.,81.16,
2025-04-15,Suggest should first.,81.16, Entertainment 
2025-01-15,Itself model song computer.,81.16,FOOD
2025-01-24,Believe per.,81.16, Groceries 
2024-09-12,Executive various mention wish second.,81.16,dining
2024-07-25,Event likely.,81.16,food
2025-01-08,Big attack drive.,81.16,transport
2025-06-28,Board collection hair.,81.16, Dining 
2024-09-06,Card about suddenly live.,81.16, Utilities 
2025-01-01,Continue book fact.,81.16,dining
2024-11-21,Power agreement force them wait.,81.16,DINING
2024-12-26,Say fear.,81.16,shopping
2024-08-24,Property good thousand student.,81.16,DINING
2024-10-07,Region phone.,81.16, Groceries 
2025-02-16,Garden expert fall.,81.16, Shopping 
2025-03-03,Board share.,81.16, Rent 
2025-03-28,Economic down computer read forget.,81.16,ENTERTAINMENT
2024-12-04,Rate image PM model.,81.16,shopping
2025-03-10,Policy line play.,81.16, Entertainment 
2025-01-27,Teacher she recently.,81.16, Groceries 
2025-04-25,Both example body physical.,81.16,dining
2025-04-03,Manage Democrat growth interesting.,81.16, Shopping 
,Movement million ability computer push.,81.16, Transport 
2025-02-22,Her force experience traditional.,81.16, Misc 
2025-03-17,Society get student.,81.16,MEDICAL
2025-04-21,Keep food someone reveal.,81.16,entertainment
2025-05-12,Quality test.,81.16,ENTERTAINMENT
2024-11-22,Many head another reflect.,81.16,FOOD
2024-09-08,Card though heart point not.,81.16,DINING
2024-10-30,Change action able.,81.16,transport
2024-12-02,Look model difference difference.,81.16, Utilities 
2025-05-26,Prove morning make three.,81.16, Medical 
2024-11-07,Hold few ever.,81.16,entertainment
2024-11-23,New board relationship.,81.16, Utilities 
2024-07-30,Tree on decade place.,81.16,MISC
2025-03-13,I Mr range leader because.,81.16,RENT
2024-10-01,Hair hit particular two.,81.16,DINING
2024-10-30,Game near such.,81.16,MEDICAL
2024-12-16,Fund hundred threat Mr her.,81.16,DINING
2025-05-19,Position sense writer television.,81.16,shopping
2025-01-29,Just third avoid.,81.16,groceries
2024-10-03,Foreign himself.,81.16,shopping
2024-09-27,News agree no present sister.,81.16,medical
2024-07-18,Couple also media environment.,81.16,ENTERTAINMENT
2025-04-10,Owner administration who reason city.,81.16,transport
2025-04-02,Policy child site my music.,81.16,GROCERIES
2024-08-19,Message past.,81.16,MISC
2025-04-01,Machine air consumer.,81.16,ENTERTAINMENT
2025-04-13,Six happy for west.,81.16, Medical 
2024-08-03,Soon president.,81.16,medical
2025-06-13,Employee newspaper it.,81.16,DINING
2025-03-17,Compare ball official us.,81.16,groceries
2024-11-12,Him degree blue prevent.,81.16,rent
2024-12-31,Paper because history interest.,81.16,RENT
2024-09-07,Available be everybody.,81.16,medical
2024-09-21,Wall reflect director seem.,81.16, Misc 
2024-11-12,Bed recognize option sea.,81.16,dining
2024-11-03,Daughter could boy.,81.16, Utilities 
2025-06-02,Answer there cup edge side.,81.16,ENTERTAINMENT
2025-05-08,Receive leave.,81.16, Misc 
2025-01-01,First cup.,81.16, Groceries 
2025-02-20,Real kitchen season other.,81.16,DINING
2025-02-27,Thing read above learn.,81.16,UTILITIES
2025-04-04,Health chance.,81.16,GROCERIES
2025-04-20,Follow size Democrat kitchen box.,81.16,shopping
2024-12-31,Few return all continue.,81.16,FOOD
2025-01-07,Member herself report trade.,81.16, Utilities 
2024-09-30,Strong institution seem tax.,81.16, Rent 
2024-09-27,Blood want crime.,81.16, Groceries 
2025-05-15,Board organization race.,81.16,shopping
2024-08-11,Hand staff walk Republican.,81.16,TRANSPORT
2024-10-17,Often admit these fact.,81.16, Transport 
2024-12-24,Plant subject.,81.16, Transport 
2024-11-07,Billion tend.,81.16,
2024-08-27,Treat represent forget medical.,,TRANSPORT
2024-08-01,Stage book eat save easy.,81.16,MEDICAL
2024-12-11,Us plan matter fast discussion.,81.16,food
2024-09-20,Message morning good would.,81.16, Dining 
2025-05-23,Police out industry lose.,81.16, Transport 
2025-03-06,Political huge black.,81.16,medical
2025-04-12,Become edge occur.,81.16,MEDICAL
2025-03-05,Receive girl look realize it.,81.16,medical
2025-02-05,Discussion according share after.,81.16,dining
2024-12-14,Two class ahead.,81.16,groceries
2025-04-04,They his perform operation.,81.16, Entertainment 
2024-08-25,Figure compare director head.,81.16,rent
2024-08-30,Focus court system fine.,81.16,dining
2025-04-19,Question knowledge party well.,81.16, Utilities 
2025-06-15,Recognize character.,81.16, Dining 
2024-08-01,Health subject.,81.16,ENTERTAINMENT
2025-05-07,Suddenly focus would.,81.16,entertainment
2025-03-06,Development wish expert catch.,81.16, Utilities 
2024-08-02,Their relate relationship travel.,81.16,food
2024-08-15,Dinner away respond behavior.,81.16,UTILITIES
2025-01-14,Yard side.,81.16,
2024-07-27,Agreement agree.,81.16,dining
2024-07-14,Always hope opportunity.,81.16,UTILITIES
2025-06-24,Raise city remain stop.,81.16,entertainment
2025-02-08,Charge economic suddenly.,81.16, Rent 
2025-05-20,Once environment physical.,81.16, Utilities 
2024-08-01,Health subject.,81.16,ENTERTAINMENT
,Heart local morning radio election.,81.16,ENTERTAINMENT
2024-09-10,Effort consider part.,81.16,entertainment
2024-08-07,Hotel some event court foot.,81.16,FOOD
2024-12-24,Care stuff difference.,81.16,medical
2024-09-02,System series.,81.16, Medical 
,Development available chair board recognize.,81.16,transport
2024-12-28,Remain available develop question.,81.16, Transport 
2024-11-30,Who debate form wish play.,81.16,dining
2025-02-08,Career town.,81.16,MEDICAL
2024-07-03,Study six wear.,81.16, Food 
2024-07-14,Manager beautiful material through.,81.16,RENT
2024-11-13,Positive vote.,81.16, Dining 
2024-07-29,Agent mission find market coach.,81.16, Shopping 
2025-03-12,Yeah military.,81.16,misc
